Commit_Message,Release_Notes,Pull_Request_Title,Successful_Builds_per_Day,Code_Coverage,Time_to_Resolve_Issues,Average_Time_to_Merge,Code_Complexity,Rating
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,94,25,9,6,8388656.849999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,87,25,5,8,8388654.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,74,29,9,5,134217770.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,78,8,8,7,111.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,93,1,3,6,44.55000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,75,3,5,8,47.44999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,85,12,3,6,1071.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,77,23,4,8,2097195.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,70,6,6,5,58.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,82,1,3,5,48.05000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,72,28,1,8,67108904.64999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,89,19,2,7,131117.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,87,20,5,5,262192.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,82,4,2,8,49.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,94,20,6,7,262191.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,87,29,8,8,134217773.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,94,3,2,7,50.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,81,4,2,5,45.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,85,22,6,5,1048619.4999999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,93,18,1,5,65581.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,90,17,10,6,32813.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,76,19,7,7,131113.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,85,3,7,6,47.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,82,4,2,6,47.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,93,17,9,8,32816.549999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,82,16,9,8,16428.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,74,5,6,6,51.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,95,14,7,6,4141.650000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,85,9,8,6,173.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,94,29,9,8,134217776.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,84,14,2,5,4140.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,81,29,7,6,134217774.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,91,15,1,5,8240.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,82,2,5,8,48.14999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,80,28,5,5,67108908.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,77,7,7,7,78.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,75,16,3,6,16424.449999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,78,13,10,6,2094.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,83,19,2,5,131115.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,85,29,2,8,134217770.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,84,28,6,8,67108912.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,89,19,2,7,131116.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,80,17,9,6,32814.049999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,83,29,1,7,134217769.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,73,15,3,8,8234.150000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,74,16,9,5,16427.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,75,22,7,5,1048620.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,91,7,8,6,78.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,86,28,5,7,67108908.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,83,4,10,6,47.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,91,5,2,7,57.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,82,4,5,8,49.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,91,10,5,7,303.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,83,14,7,6,4141.050000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,86,25,2,5,8388650.700000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,88,15,5,6,8236.050000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,77,30,4,8,268435497.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,91,6,8,6,65.89999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,84,28,2,5,67108907.49999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,88,22,4,7,1048619.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,86,13,4,8,2095.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,92,24,9,5,4194353.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,89,8,1,6,109.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,89,16,1,7,16426.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,84,30,8,6,268435504.70000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,93,14,4,6,4143.500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,80,26,7,5,16777261.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,85,29,2,5,134217773.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,84,22,10,8,1048621.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,71,15,10,6,8236.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,94,30,8,5,268435505.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,74,19,6,7,131113.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,89,12,4,8,1072.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,92,29,4,6,134217772.09999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,80,6,8,7,64.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,73,23,10,7,2097194.5000000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,73,5,1,6,50.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,82,12,4,6,1069.5999999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,76,2,5,5,41.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,87,30,2,7,268435499.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,81,3,8,7,47.800000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,79,21,10,6,524331.2999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,92,14,6,8,4142.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,90,20,3,8,262193.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,88,6,8,7,61.500000000000014
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,72,7,5,8,74.44999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,70,16,8,8,16428.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,88,5,3,7,54.150000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,78,14,10,8,4143.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,79,14,1,7,4136.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,70,4,9,6,48.550000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,85,7,5,8,80.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,78,14,5,8,4138.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,72,3,6,5,43.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,78,25,9,5,8388651.149999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,76,1,1,5,42.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,81,3,3,6,44.35000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,73,3,6,5,46.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,73,7,3,5,76.85000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,80,25,6,8,8388653.100000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,71,1,3,6,45.35000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,93,29,9,6,134217777.54999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,84,12,7,8,1072.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,77,28,2,5,67108910.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,93,17,5,7,32818.24999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,95,29,5,7,134217772.64999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,93,23,10,8,2097198.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,79,23,4,6,2097197.1000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,93,18,4,5,65582.90000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,88,13,8,7,2091.9999999999995
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,88,29,3,6,134217770.84999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,92,13,8,5,2097.2999999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,90,21,7,6,524333.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,92,1,4,7,48.00000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,78,1,9,8,43.050000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,84,7,1,5,74.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,75,3,4,6,45.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,77,15,5,5,8233.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,78,16,1,6,16428.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,81,17,5,8,32814.05
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,84,10,8,8,302.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,71,17,2,5,32811.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,90,21,8,8,524332.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,85,11,3,6,555.6500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,81,22,5,6,1048622.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,73,7,1,5,72.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,93,15,2,6,8237.800000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,79,2,10,7,44.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,85,30,8,7,268435500.29999995
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,94,7,8,5,77.30000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,75,19,2,5,131116.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,71,26,5,7,16777257.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,84,20,6,8,262190.60000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,70,4,4,6,47.300000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,71,2,2,8,41.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,82,9,3,8,170.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,87,8,4,7,109.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,82,2,6,7,45.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,84,30,1,6,268435503.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,84,18,3,7,65581.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,80,17,8,7,32813.59999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,72,15,7,8,8232.949999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,82,1,8,7,46.30000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,94,13,5,7,2096.0499999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,74,9,10,6,170.29999999999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,87,28,7,5,67108913.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,76,29,9,7,134217772.34999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,89,27,10,5,33554479.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,77,3,10,7,48.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,95,5,8,7,58.80000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,86,11,3,6,556.5500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,71,21,2,5,524332.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,83,29,2,6,134217770.29999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,83,20,10,7,262187.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,76,2,2,8,42.400000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,79,9,3,5,171.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,73,13,3,6,2089.5499999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,86,1,1,7,46.349999999999994
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,73,24,10,8,4194347.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,83,28,3,8,67108908.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,81,18,1,6,65578.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,95,22,10,8,1048623.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,88,23,8,7,2097200.2000000007
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,84,3,4,5,48.00000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,71,14,4,8,4141.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,74,12,2,7,1065.8
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,94,1,1,6,48.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,91,14,5,7,4144.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,72,7,10,5,75.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,72,29,7,7,134217772.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,85,4,3,6,50.150000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,72,19,6,8,131114.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,75,1,8,7,46.30000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,83,30,6,6,268435501.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,84,9,10,6,174.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,90,7,8,6,81.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,70,4,3,7,45.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,82,25,1,5,8388654.049999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,79,30,10,7,268435499.09999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,77,23,3,6,2097193.2500000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,74,16,8,7,16426.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,73,24,4,5,4194345.399999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,84,8,6,5,107.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,95,25,4,8,8388657.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,93,4,8,7,51.10000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,77,4,8,7,50.60000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,78,8,3,6,105.64999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,83,30,7,6,268435504.15000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,71,3,10,8,46.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,92,25,6,5,8388657.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,87,4,10,6,51.900000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,75,25,10,6,8388649.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,77,6,10,5,62.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,83,11,3,6,559.2500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,74,23,7,7,2097197.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,82,21,2,8,524331.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,78,19,7,6,131114.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,90,13,2,7,2093.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,78,14,8,6,4140.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,92,19,10,6,131117.80000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,90,16,10,5,16428.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,71,7,9,7,78.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,82,1,3,7,43.750000000000014
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,85,20,7,6,262187.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,88,3,2,6,47.900000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,72,19,2,5,131112.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,89,9,6,7,177.29999999999995
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,76,11,9,8,558.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,72,28,2,7,67108909.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,79,27,7,7,33554476.150000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,91,1,6,6,46.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,77,13,7,5,2093.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,75,20,8,8,262189.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,75,2,5,7,43.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,78,18,1,7,65576.94999999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,75,27,4,8,33554476.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,93,6,5,6,64.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,76,10,1,8,302.34999999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,75,28,10,7,67108906.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,87,6,2,7,60.400000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,70,12,8,7,1070.1000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,71,15,7,7,8236.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,74,23,4,5,2097193.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,80,1,4,7,43.20000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,75,24,3,5,4194349.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,85,24,1,6,4194346.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,95,12,4,8,1072.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,93,11,8,8,560.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,73,5,5,8,50.150000000000006
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,81,17,6,7,32814.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,76,14,3,7,4140.749999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,90,11,10,6,556.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,79,16,2,7,16425.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,73,2,7,5,46.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,78,4,6,8,49.699999999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,80,28,10,7,67108908.80000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,90,10,4,7,302.70000000000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,86,10,8,7,300.79999999999995
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,78,20,1,5,262186.55000000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,91,17,3,5,32817.34999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,71,20,2,7,262184.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,90,6,10,8,66.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,71,24,10,7,4194347.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,70,10,2,8,296.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,72,28,1,6,67108904.55
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,93,15,4,8,8237.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,85,85,30,8,8,268435500.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,95,24,4,7,4194349.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,78,28,10,7,67108906.30000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,72,16,4,5,16425.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,87,1,8,7,43.90000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,74,15,8,6,8235.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,82,30,10,7,268435499.09999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,92,28,10,8,67108914.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,93,23,9,6,2097197.6500000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,80,26,8,7,16777261.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,82,13,8,8,2095.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,86,93,8,3,5,109.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,95,26,2,8,16777260.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,72,14,8,5,4137.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,90,20,6,5,262189.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,90,30,9,6,268435505.45000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,80,24,1,7,4194347.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,77,9,5,6,172.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,73,24,9,8,4194347.649999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,82,17,6,5,32813.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,72,2,9,6,41.550000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,76,19,10,5,131116.30000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,73,15,5,7,8233.050000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,92,5,5,5,54.25
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,76,27,4,5,33554476.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,94,90,19,5,8,131119.95
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,88,75,30,4,5,268435498.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,90,17,6,5,32816.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,88,29,3,5,134217771.04999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,83,15,9,5,8240.35
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,77,12,2,5,1067.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,89,87,18,3,5,65581.15000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,71,3,10,8,47.699999999999996
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,96,72,2,3,7,45.550000000000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,79,4,10,8,47.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,95,20,4,5,262190.39999999997
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,72,1,5,7,45.05000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,76,18,3,7,65578.65
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,93,12,3,8,1073.75
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,72,15,6,8,8237.699999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,85,11,2,6,557.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,90,21,4,5,524332.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,70,10,6,7,301.19999999999993
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,77,6,7,8,63.14999999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,94,3,7,8,52.849999999999994
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,89,1,4,8,44.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,95,71,4,5,6,48.250000000000014
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,79,17,3,5,32814.34999999999
